"WeatherDetailsId"|"WeatherDetailsCity"|"WeatherDetailsState"|"WeatherDetailsCounty"|"WeatherDetailsStateFIPS"|"WeatherDetailsCountyFIPS"|"WeatherDetailsStationID"|"WeatherDetailsMaxTempFahrenheit"|"WeatherDetailsMinTempFahrenheit"|"WeatherDetailsAvgTempFahrenheit"|"WeatherDetailsDewPointFahrenheit"|"WeatherDetailsPressureIn"|"WeatherDetailsPrecipitationInch"|"WeatherDetailsSnowfallInch"|"WeatherDetailsThunderstormsDays"|"WeatherDetailsHeavyFogMiles"|"WeatherDetailsWindSpeedMph"|"WeatherDetailsHeatingDegreeDays"|"WeatherDetailsColdDegreeDays"|"WeatherDetailsYear"|"WeatherDetailsMonth"
"2292693"|"Leon"|"IA"|"Decatur"|"19"|"053"|"94991"|"31.1"|"10.5"|"20.8"|"12.2"|"28.84"|"0.18"|""|"0"|"0"|"10.5"|"44"|"0"|"2009"|"1"
"2292694"|"Leon"|"IA"|"Decatur"|"19"|"053"|"94991"|"86.6"|"66.5"|"76.6"|"67.8"|"28.75"|"3.03"|""|"7"|"0"|"6.9"|"0"|"11.8"|"2010"|"8"
"2292695"|"Leon"|"IA"|"Decatur"|"19"|"053"|"94991"|"66.1"|"44.5"|"55.3"|"44.2"|"28.71"|"3.74"|""|"3"|"2"|"10.5"|"10.2"|"0.9"|"2012"|"3"
"2292696"|"Leon"|"IA"|"Decatur"|"19"|"053"|"94991"|""|""|""|"41.5"|""|"3.59"|""|"3"|"1"|"8.8"|"12.5"|"1"|"2013"|"10"
"2292697"|"Leon"|"IA"|"Decatur"|"19"|"053"|"94991"|"82.8"|"64.9"|"73.9"|"64.3"|"28.72"|"4.97"|""|"9"|"0"|"7.4"|"0"|"9.1"|"2015"|"6"
"2292735"|"Leon"|"IA"|"Decatur"|"19"|"053"|"54902"|"36.3"|"23"|"29.6"|""|""|"1.12"|""|"0"|"0"|""|"35.1"|"0"|"2014"|"12"
"2292736"|"Leon"|"IA"|"Decatur"|"19"|"053"|"94991"|"47.2"|"29.9"|"38.6"|"30"|"28.8"|"0.42"|""|"0"|"4"|"10.2"|"26.2"|"0"|"2008"|"11"
"2292737"|"Leon"|"IA"|"Decatur"|"19"|"053"|"94991"|"85.3"|"67.5"|"76.4"|"69.2"|"28.76"|"1.73"|""|"7"|"0"|"6.7"|"0"|"11.9"|"2010"|"7"
"2292738"|"Leon"|"IA"|"Decatur"|"19"|"053"|"94991"|"41.9"|"24.1"|"33"|"24"|"28.85"|"2.01"|""|"0"|"1"|"10.2"|"31.8"|"0"|"2012"|"2"
"2292739"|"Leon"|"IA"|"Decatur"|"19"|"053"|"94991"|"81.6"|"58.1"|"69.9"|"56"|"28.78"|"3.4"|""|"4"|"0"|"7.7"|"1.3"|"6.5"|"2013"|"9"
"2298099"|"Lena"|"WI"|"Oconto"|"55"|"083"|"14898"|"54.6"|"37.7"|"46.2"|"34.6"|"29.21"|"4.12"|""|"1"|"1"|"11.4"|"18.7"|"0"|"2008"|"4"
"2298100"|"Lena"|"WI"|"Oconto"|"55"|"083"|"14898"|"69.3"|"47.9"|"58.6"|""|"29.28"|"1.22"|""|"0"|"0"|"4.7"|"4.1"|"0.8"|"2009"|"9"
"2298101"|"Lena"|"WI"|"Oconto"|"55"|"083"|"14898"|"36.9"|"20"|"28.5"|"20.8"|"29.37"|"10.45"|""|"0"|"0"|"8.3"|"36.9"|"0"|"2011"|"3"
"2298102"|"Lena"|"WI"|"Oconto"|"55"|"083"|"14898"|"79.7"|"57.3"|"68.5"|"59.2"|"29.21"|"3.76"|""|"3"|"0"|"5.5"|"0.4"|"4.2"|"2012"|"8"
"2298103"|"Lena"|"WI"|"Oconto"|"55"|"083"|"14898"|"18.6"|"-2.6"|"8"|"3.1"|"29.26"|"1.5"|""|"1"|"0"|"9.8"|"56.5"|"0"|"2014"|"2"
"2298135"|"Lena"|"WI"|"Oconto"|"55"|"083"|"14898"|"64.4"|"45.2"|"54.8"|"45.6"|"29.2"|"3.62"|""|"1"|"1"|"9"|"11"|"1.1"|"2007"|"10"
